id,make,model,year,fuelType,horsePower,cylinders,driveTrain,numDoors,size,style,highwayMpg,cityMpg,msrp
1,Acura,CL,2001,premium unleaded (required),225,6,front wheel drive,2,Midsize,Coupe,27,17,29980
2,Acura,CL,2002,premium unleaded (required),225,6,front wheel drive,2,Midsize,Coupe,27,17,27980
3,Acura,CL,2003,premium unleaded (required),260,6,front wheel drive,2,Midsize,Coupe,26,17,28030
4,Acura,CL,2003,premium unleaded (required),260,6,front wheel drive,2,Midsize,Coupe,27,17,30030
5,Acura,CL,2003,premium unleaded (required),225,6,front wheel drive,2,Midsize,Coupe,27,17,32700
6,Acura,ILX Hybrid,2014,premium unleaded (recommended),111,4,front wheel drive,4,Compact,Sedan,38,39,30550
7,Acura,ILX,2015,premium unleaded (recommended),201,4,front wheel drive,4,Compact,Sedan,31,22,30350
8,Acura,ILX,2015,premium unleaded (recommended),150,4,front wheel drive,4,Compact,Sedan,35,24,28200
9,Acura,ILX,2016,premium unleaded (recommended),201,4,front wheel drive,4,Compact,Sedan,36,25,30550
10,Acura,ILX,2017,premium unleaded (recommended),201,4,front wheel drive,4,Compact,Sedan,35,25,28900
11,Acura,Integra,1999,regular unleaded,140,4,front wheel drive,4,Compact,Sedan,29,22,34600
12,Acura,Integra,1999,regular unleaded,140,4,front wheel drive,2,Compact,2dr Hatchback,29,22,29350
13,Acura,Integra,1999,regular unleaded,170,4,front wheel drive,4,Compact,Sedan,28,22,31750
14,Acura,Integra,1999,regular unleaded,170,4,front wheel drive,2,Compact,2dr Hatchback,28,22,29350
15,Acura,Integra,2000,regular unleaded,140,4,front wheel drive,2,Compact,2dr Hatchback,28,22,27050
16,Acura,Integra,2000,regular unleaded,140,4,front wheel drive,4,Compact,Sedan,28,22,34890
17,Acura,Integra,2000,regular unleaded,170,4,front wheel drive,4,Compact,Sedan,28,22,29900
18,Acura,Integra,2000,regular unleaded,170,4,front wheel drive,2,Compact,2dr Hatchback,28,22,29200
19,Acura,Integra,2000,regular unleaded,195,4,front wheel drive,2,Compact,2dr Hatchback,28,22,31890
20,Acura,Integra,2001,premium unleaded (required),170,4,front wheel drive,4,Compact,Sedan,28,22,32900
21,Acura,Integra,2001,regular unleaded,140,4,front wheel drive,2,Compact,2dr Hatchback,28,22,27900
22,Acura,Integra,2001,regular unleaded,140,4,front wheel drive,2,Compact,2dr Hatchback,28,21,32990
23,Acura,Integra,2001,regular unleaded,140,4,front wheel drive,4,Compact,Sedan,28,22,29290
24,Acura,Integra,2001,regular unleaded,140,4,front wheel drive,4,Compact,Sedan,28,21,31980
25,Acura,Integra,2001,premium unleaded (required),195,4,front wheel drive,2,Compact,2dr Hatchback,28,22,34980
26,Acura,Integra,2001,premium unleaded (required),170,4,front wheel drive,2,Compact,2dr Hatchback,28,22,27990
27,Acura,Legend,1993,regular unleaded,200,6,front wheel drive,4,Midsize,Sedan,23,15,29990
28,Acura,Legend,1993,regular unleaded,200,6,front wheel drive,4,Midsize,Sedan,23,16,2827
29,Acura,Legend,1993,regular unleaded,230,6,front wheel drive,2,Midsize,Coupe,23,15,3000
30,Acura,Legend,1994,regular unleaded,230,6,front wheel drive,2,Midsize,Coupe,24,16,2912
31,Acura,Legend,1994,regular unleaded,200,6,front wheel drive,4,Midsize,Sedan,23,16,3381
